% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 72.25 s, time offset 36.13 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-08-25 T 12:14:53 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.100301184000e+01, 1.996825e+00, 1.221300e-03
-4.093231699200e+01, 2.009038e+00, 0.000000e+00
-4.086162214400e+01, 1.996825e+00, 1.221300e-03
-4.079092729600e+01, 2.002931e+00, 1.221300e-03
-4.072023244800e+01, 2.002931e+00, 1.221300e-03
-4.064953760000e+01, 1.996825e+00, 1.221300e-03
-4.057884275200e+01, 2.002931e+00, 2.442599e-03
-4.050814790400e+01, 2.002931e+00, 1.221300e-03
-4.043745305600e+01, 2.002931e+00, 1.221300e-03
-4.036675820800e+01, 1.996825e+00, 1.221300e-03
-4.029606336000e+01, 1.996825e+00, 1.221300e-03
-4.022536851200e+01, 1.996825e+00, 0.000000e+00
-4.015467366400e+01, 2.009038e+00, 1.221300e-03
-4.008397881600e+01, 1.996825e+00, 2.442599e-03
-4.001328396800e+01, 2.002931e+00, 2.442599e-03
-3.994258912000e+01, 2.002931e+00, 1.221300e-03
-3.987189427200e+01, 2.009038e+00, 2.442599e-03
-3.980119942400e+01, 2.002931e+00, 1.221300e-03
-3.973050457600e+01, 2.002931e+00, 1.221300e-03
-3.965980972800e+01, 1.990718e+00, 0.000000e+00
-3.958911488000e+01, 2.002931e+00, 1.221300e-03
-3.951842003200e+01, 2.009038e+00, 2.442599e-03
-3.944772518400e+01, 2.002931e+00, 1.221300e-03
-3.937703033600e+01, 1.984612e+00, 2.442599e-03
-3.930633548800e+01, 2.002931e+00, 2.442599e-03
-3.923564064000e+01, 1.996825e+00, 2.442599e-03
-3.916494579200e+01, 2.009038e+00, 1.221300e-03
-3.909425094400e+01, 1.990718e+00, 1.221300e-03
-3.902355609600e+01, 2.002931e+00, 0.000000e+00
-3.895286124800e+01, 1.996825e+00, 2.442599e-03
-3.888216640000e+01, 1.996825e+00, 1.221300e-03
-3.881147155200e+01, 2.009038e+00, 2.442599e-03
-3.874077670400e+01, 2.002931e+00, 0.000000e+00
-3.867008185600e+01, 2.002931e+00, 1.221300e-03
-3.859938700800e+01, 1.978505e+00, 2.442599e-03
-3.852869216000e+01, 2.015144e+00, 2.442599e-03
-3.845799731200e+01, 2.009038e+00, 1.221300e-03
-3.838730246400e+01, 2.015144e+00, 1.221300e-03
-3.831660761600e+01, 2.009038e+00, 2.442599e-03
-3.824591276800e+01, 2.009038e+00, 2.442599e-03
-3.817521792000e+01, 2.009038e+00, 2.442599e-03
-3.810452307200e+01, 1.996825e+00, 0.000000e+00
-3.803382822400e+01, 1.990718e+00, 1.221300e-03
-3.796313337600e+01, 2.009038e+00, 1.221300e-03
-3.789243852800e+01, 1.996825e+00, 1.221300e-03
-3.782174368000e+01, 1.996825e+00, 1.221300e-03
-3.775104883200e+01, 1.996825e+00, 1.221300e-03
-3.768035398400e+01, 1.996825e+00, 2.442599e-03
-3.760965913600e+01, 1.990718e+00, 0.000000e+00
-3.753896428800e+01, 2.002931e+00, 1.221300e-03
-3.746826944000e+01, 1.996825e+00, 1.221300e-03
-3.739757459200e+01, 1.990718e+00, 1.221300e-03
-3.732687974400e+01, 2.002931e+00, 1.221300e-03
-3.725618489600e+01, 1.990718e+00, 2.442599e-03
-3.718549004800e+01, 2.002931e+00, 2.442599e-03
-3.711479520000e+01, 2.009038e+00, 0.000000e+00
-3.704410035200e+01, 2.002931e+00, 1.221300e-03
-3.697340550400e+01, 2.009038e+00, 1.221300e-03
-3.690271065600e+01, 1.966292e+00, 0.000000e+00
