% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 72.25 s, time offset 36.13 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-08-25 T 12:25:41 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-5.090029056000e+01, -1.532731e+00, 0.000000e+00
-5.082959571200e+01, -1.520518e+00, 1.221300e-03
-5.075890086400e+01, -1.532731e+00, 0.000000e+00
-5.068820601600e+01, -1.532731e+00, 0.000000e+00
-5.061751116800e+01, -1.520518e+00, 0.000000e+00
-5.054681632000e+01, -1.538837e+00, 1.221300e-03
-5.047612147200e+01, -1.526624e+00, 0.000000e+00
-5.040542662400e+01, -1.520518e+00, 0.000000e+00
-5.033473177600e+01, -1.538837e+00, 1.221300e-03
-5.026403692800e+01, -1.526624e+00, 1.221300e-03
-5.019334208000e+01, -1.538837e+00, 1.221300e-03
-5.012264723200e+01, -1.526624e+00, 0.000000e+00
-5.005195238400e+01, -1.520518e+00, 0.000000e+00
-4.998125753600e+01, -1.532731e+00, 1.221300e-03
-4.991056268800e+01, -1.538837e+00, 1.221300e-03
-4.983986784000e+01, -1.538837e+00, 1.221300e-03
-4.976917299200e+01, -1.526624e+00, 2.442599e-03
-4.969847814400e+01, -1.526624e+00, 0.000000e+00
-4.962778329600e+01, -1.526624e+00, 0.000000e+00
-4.955708844800e+01, -1.502198e+00, 2.442599e-03
-4.948639360000e+01, -1.520518e+00, 1.221300e-03
-4.941569875200e+01, -1.526624e+00, 2.442599e-03
-4.934500390400e+01, -1.526624e+00, 1.221300e-03
-4.927430905600e+01, -1.526624e+00, 0.000000e+00
-4.920361420800e+01, -1.532731e+00, 0.000000e+00
-4.913291936000e+01, -1.520518e+00, 1.221300e-03
-4.906222451200e+01, -1.520518e+00, 0.000000e+00
-4.899152966400e+01, -1.526624e+00, 1.221300e-03
-4.892083481600e+01, -1.520518e+00, 1.221300e-03
-4.885013996800e+01, -1.520518e+00, 1.221300e-03
-4.877944512000e+01, -1.520518e+00, 1.221300e-03
-4.870875027200e+01, -1.520518e+00, 0.000000e+00
-4.863805542400e+01, -1.526624e+00, 0.000000e+00
-4.856736057600e+01, -1.520518e+00, 1.221300e-03
-4.849666572800e+01, -1.532731e+00, 1.221300e-03
-4.842597088000e+01, -1.520518e+00, 1.221300e-03
-4.835527603200e+01, -1.526624e+00, 1.221300e-03
-4.828458118400e+01, -1.532731e+00, 1.221300e-03
-4.821388633600e+01, -1.526624e+00, 0.000000e+00
-4.814319148800e+01, -1.514411e+00, 0.000000e+00
-4.807249664000e+01, -1.508305e+00, 0.000000e+00
-4.800180179200e+01, -1.538837e+00, 0.000000e+00
-4.793110694400e+01, -1.526624e+00, 1.221300e-03
-4.786041209600e+01, -1.532731e+00, 0.000000e+00
-4.778971724800e+01, -1.532731e+00, 1.221300e-03
-4.771902240000e+01, -1.520518e+00, 0.000000e+00
-4.764832755200e+01, -1.508305e+00, 1.221300e-03
-4.757763270400e+01, -1.532731e+00, 0.000000e+00
-4.750693785600e+01, -1.575476e+00, 0.000000e+00
-4.743624300800e+01, -1.599902e+00, 0.000000e+00
-4.736554816000e+01, -1.624328e+00, 2.442599e-03
-4.729485331200e+01, -1.667074e+00, 0.000000e+00
-4.722415846400e+01, -1.691500e+00, 2.442599e-03
-4.715346361600e+01, -1.740352e+00, 0.000000e+00
-4.708276876800e+01, -1.746458e+00, 0.000000e+00
-4.701207392000e+01, -1.783097e+00, 1.221300e-03
-4.694137907200e+01, -1.801417e+00, 0.000000e+00
-4.687068422400e+01, -1.856375e+00, 2.442599e-03
-4.679998937600e+01, -1.856375e+00, 2.442599e-03
-4.672929452800e+01, -1.911334e+00, 1.221300e-03
-4.665859968000e+01, -1.923547e+00, 0.000000e+00
-4.658790483200e+01, -1.960186e+00, 0.000000e+00
-4.651720998400e+01, -1.984612e+00, 0.000000e+00
-4.644651513600e+01, -2.021251e+00, 1.221300e-03
-4.637582028800e+01, -2.051783e+00, 1.221300e-03
-4.630512544000e+01, -2.063996e+00, 1.221300e-03
-4.623443059200e+01, -2.106742e+00, 0.000000e+00
-4.616373574400e+01, -2.143381e+00, 1.221300e-03
-4.609304089600e+01, -2.161700e+00, 0.000000e+00
-4.602234604800e+01, -2.204446e+00, 0.000000e+00
-4.595165120000e+01, -2.228871e+00, 2.442599e-03
-4.588095635200e+01, -2.253297e+00, 1.221300e-03
-4.581026150400e+01, -2.253297e+00, 1.221300e-03
-4.573956665600e+01, -2.320469e+00, 0.000000e+00
-4.566887180800e+01, -2.375427e+00, 1.221300e-03
-4.559817696000e+01, -2.381534e+00, 0.000000e+00
-4.552748211200e+01, -2.405960e+00, 0.000000e+00
-4.545678726400e+01, -2.448705e+00, 1.221300e-03
-4.538609241600e+01, -2.485344e+00, 2.442599e-03
-4.531539756800e+01, -2.497557e+00, 0.000000e+00
-4.524470272000e+01, -2.521983e+00, 1.221300e-03
-4.517400787200e+01, -2.564729e+00, 1.221300e-03
-4.510331302400e+01, -2.570835e+00, 1.221300e-03
-4.503261817600e+01, -2.619687e+00, 2.442599e-03
-4.496192332800e+01, -2.650220e+00, 0.000000e+00
-4.489122848000e+01, -2.680752e+00, 0.000000e+00
-4.482053363200e+01, -2.711285e+00, 1.221300e-03
-4.474983878400e+01, -2.747924e+00, 1.221300e-03
-4.467914393600e+01, -2.766243e+00, 0.000000e+00
-4.460844908800e+01, -2.796776e+00, 0.000000e+00
-4.453775424000e+01, -2.839521e+00, 0.000000e+00
-4.446705939200e+01, -2.863947e+00, 1.221300e-03
-4.439636454400e+01, -2.882267e+00, 2.442599e-03
-4.432566969600e+01, -2.931119e+00, 2.442599e-03
-4.425497484800e+01, -2.943332e+00, 2.442599e-03
-4.418428000000e+01, -2.986077e+00, 1.221300e-03
-4.411358515200e+01, -2.998290e+00, 0.000000e+00
-4.404289030400e+01, -3.028823e+00, 1.221300e-03
-4.397219545600e+01, -3.077675e+00, 2.442599e-03
-4.390150060800e+01, -3.102101e+00, 1.221300e-03
-4.383080576000e+01, -3.114314e+00, 1.221300e-03
-4.376011091200e+01, -3.138740e+00, 1.221300e-03
-4.368941606400e+01, -3.187592e+00, 1.221300e-03
-4.361872121600e+01, -3.218124e+00, 2.442599e-03
